Date,Versus,Ground,How Dismissed,Runs,S/R
03/07/2008,Sri Lanka,National Stadium,run out,54,81.82
06/07/2008,Sri Lanka,National Stadium,b B A W Mendis,16,76.19
18/08/2008,Sri Lanka,Rangiri Dambulla International Stadium,c L P C Silva b K M D N Kulasekara,17,48.57
20/08/2008,Sri Lanka,Rangiri Dambulla International Stadium,lbw b K M D N Kulasekara,1,25.00
24/08/2008,Sri Lanka,R Premadasa Stadium,run out,53,66.25
27/08/2008,Sri Lanka,R Premadasa Stadium,c K M D N Kulasekara b T Thushara,76,97.44
29/08/2008,Sri Lanka,R Premadasa Stadium,c C R D Fernando b K M D N Kulasekara,10,76.92
14/11/2008,England,Madhavrao Scindia Cricket Ground,c P D Collingwood b A Flintoff,43,97.73
17/11/2008,England,Holkar Cricket Stadium,c S R Patel b S C J Broad,4,44.44
20/11/2008,England,Green Park,b S C J Broad,1,12.50
23/11/2008,England,M Chinnaswamy Stadium,did not bat,-,-
26/11/2008,England,Barabati Stadium,not out,53*,100.00
28/01/2009,Sri Lanka,Rangiri Dambulla International Stadium,run out,54,76.06
31/01/2009,Sri Lanka,R Premadasa Stadium,c C K Kapugedera b T M Dilshan,29,67.44
03/02/2009,Sri Lanka,R Premadasa Stadium,st K C Sangakkara b B A W Mendis,9,64.29
05/02/2009,Sri Lanka,R Premadasa Stadium,not out,49*,132.43
08/02/2009,Sri Lanka,R Premadasa Stadium,c †K C Sangakkara b K M D N Kulasekara,0,0.00
03/03/2009,New Zealand,McLean Park,c I E O'Brien b G D Elliott,66,169.23
06/03/2009,New Zealand,Westpac Stadium,not out,13*,162.50
08/03/2009,New Zealand,AMI Stadium,not out,38*,211.11
11/03/2009,New Zealand,Seddon Park,did not bat,-,-
14/03/2009,New Zealand,Eden Park,c S B Styris b J D P Oram,8,42.11
11/09/2009,New Zealand,R Premadasa Stadium,not out,45*,83.33
12/09/2009,Sri Lanka,R Premadasa Stadium,c †K C Sangakkara b A D Mathews,0,0.00
14/09/2009,Sri Lanka,R Premadasa Stadium,c K M D N Kulasekara b T Thushara,8,133.33
26/09/2009,Pakistan,SuperSport Park,lbw b Saeed Ajmal,46,112.20
28/09/2009,Australia,SuperSport Park,did not bat,-,-
30/09/2009,West Indies,New Wanderers Stadium,did not bat,-,-
25/10/2009,Australia,Reliance Stadium,c & b M G Johnson,9,90.00
28/10/2009,Australia,Vidarbha Cricket Association Stadium,c †T D Paine b M G Johnson,62,124.00
31/10/2009,Australia,Feroz Shah Kotla,not out,9*,69.23
02/11/2009,Australia,Punjab Cricket Association IS Bindra Stadium,b N M Hauritz,17,56.67
05/11/2009,Australia,Rajiv Gandhi International Stadium,c †G A Manou b S R Watson,59,100.00
08/11/2009,Australia,Nehru Stadium (Guwahati),c N M Hauritz b M G Johnson,0,0.00
15/12/2009,Sri Lanka,Madhavrao Scindia Cricket Ground,c S T Jayasuriya b K M D N Kulasekara,16,80.00
18/12/2009,Sri Lanka,Vidarbha Cricket Association Stadium,c S Randiv b A D Mathews,68,123.64
21/12/2009,Sri Lanka,Barabati Stadium,did not bat,-,-
